AIP 97, Academic Internship (2, 4), 2, 4
AIP 197, Academic Internship  Program (4, 8, 12), 4, 8, 12
AIP 197F, Academic Internship  Program—Foreign (4, 8, 12), 4, 8, 12
AIP 197P, Public Service Minor Internship (4), 4
ANAR 138, Mesopotamia: The Emergence of Civilization (4), 4
ANAR 141, Prehistory of the Holy Land (4), 4
ANAR 142, The Rise and Fall of Ancient Israel (4), 4
ANAR 143, Biblical Archaeology—Fact or Fiction  (4), 4
ANAR 144, Pharaohs, Mummies, and Pyramids: Introduction to Egyptol, Pharaohs, Mummies, and Pyramids: Introduction to Egypto
ANAR 145S, Study Abroad: Egypt of the Pharaohs (4), 4
ANAR 146, Feeding the World (4), 4
ANAR 153, The Mysterious Maya (4), 4
ANAR 154, The Aztecs and their Ancestors (4), 4
ANAR 155S, Study Abroad: Ancient Mesoamerica (4), 4
ANAR 156, The Archaeology of South America (4), 4
ANAR 157, Early Empires of the Andes: The Middle Horizon (4), 4
ANAR 157S, Early Empires of the Andes: The Middle Horizon (4), 4
ANAR 158, The Inca: Empire of the Andes (4), 4
ANAR 160, Ancient Maya: Archaeological Problems and Perspectives (4), 4
ANAR 165, Marine and Coastal Archaeology and the Biblical Seas (4), 4
ANAR 166, Introduction to Environmental Archaeology—Theory and Method of Socioecodynamics and Human Paleoecology (4), 4
ANAR 167, Geoarchaeology in Theory and Practice (6), 6
ANAR 170, Research Design in Anthropological Archaeology (4), 4
ANAR 180, Archaeology Workshop: Advanced Lab Work in Archaeology    (4), 4
ANAR 181, The  Archaeology of Hunters-Gatherers (4), 4
ANAR 182, Origins of Agriculture and Sedentism (4), 4
ANAR 183, Chiefdoms, States, and the Emergence of Civilizations (4), 4
ANAR 184, Empires in Archaeological Perspective  (4), 4
ANAR 185, Middle East Desert Cultural Ecology (4), 4
ANAR 186, The Human Era: The Archaeology of the Anthropocene (4), 4
ANAR 190, Eastern Mediterranean Archaeological Field School  (12), 12
ANAR 191, Advanced Cyber-Archaeology Field School (12), 12
ANBI 100, Special Topics in Biological Anthro, Special Topics in Biological Anthr
ANBI 109, Brain Mind Workshop (2), 2
ANBI 111, Human Evolu, Human Evol
ANBI 112, Methods in Human Comparative Neuroscience  (4), 4
ANBI 114, Methods in Primate Conservation (4), 4
ANBI 116, Human Sexuality in an Evolutionary Perspective  (4), 4
ANBI 120, Ethical Dilemmas in Biological Anthropology  (4), 4
ANBI 130, Biology of Inequality (4), 4
ANBI 131, Biology and Culture of Race (4), 4
ANBI 132, Conservation and the Human Predicam, Conservation and the Human Predica
ANBI 133, Planet of the Apes: Evolution and Ecology of the Great Ape (4), 4
ANBI 134, Human Evolutionary Genetics (4), 4
ANBI 135, Genetic Anthropology Lab Techniques (4), 4
ANBI 139, Evolution of Human Disease (4), 4
ANBI 140, The Evolution of the Human Brain (4, 
ANBI 141, The Evolution of Human Diet (4), 4
ANBI 143, The Human Skeleton (4), 4
ANBI 144, Human Anatomy (4), 4
ANBI 145, Bioarcheology (4), 4
ANBI 146, Stable Isotopes in Ecology (4), 4
ANBI 148, Not by Genes Alone: The Ecology and Evolution of Primate Behavior (4), 4
ANBI 159, Biological and Cultural Perspectives on Intelligence (4), 4
ANBI 173, How Monkeys See the World  (4), 4
ANBI 174, Conservation and the Media: Film Lab (4), 4
ANBI 175, Paleofantasy: The Evidence for Our Early Ancestors (4), 4
ANSC 100, Special Topics in Sociocultural Anthropology (4), 4
ANSC 101, Aging: Culture and Health in Late Life Human Development (4), 4
ANSC 105, Global Health and Inequality (4), 4
ANSC 105GS, Global Health and Inequality (4), 4
ANSC 105S, Global Health and Inequality—Study Abroad (4), 4
ANSC 106, Global Health: Indigenous Medicines in Latin America (4), 4
ANSC 106S, Global Health: Indigenous Medicines in Latin America—Study Abroad (4), 4
ANSC 110, Societies and Cultures of the Caribbean (4), 4
ANSC 111, The Chinese Heritage in Taiwan (4), 4
ANSC 113, Language, Style, and Youth Identities (4), 4
ANSC 114, Food Cultures of South Asia (4), 4
ANSC 116, Languages of the Americas: Mayan (4), 4
ANSC 117, Transgenderisms (4), 4
ANSC 117GS, Language and (Multi)Culture (4), Multi)Culture (4
ANSC 118, Language and Culture (4), 4
ANSC 119, Gesture,  Communication, and the Body (4), 4
ANSC 119GS, Gesture, Communication, and the Body (4), 4
ANSC 120, Anthropology of Religion (4), 4
ANSC 121, Psychological Anthropology (4), 4
ANSC 122, Language in Society (4), 4
ANSC 123, Political Anthropology (4), 4
ANSC 124, Cultural Anthropology (4), 4
ANSC 125, Gender, Sexuality, and Society (4), 4
ANSC 125GS, Gender, Sexuality, and Society (4), 4
ANSC 126, Childhood and Adolescence (4), 4
ANSC 127, Discourse, Interaction, and Social Life (4), 4
ANSC 128, Culture and Emotion (4), 4
ANSC 129, Meaning and Healing (4), 4
ANSC 130, Hinduism (4), 4
ANSC 131, Language, Law, and Social Justice  (4), 4
ANSC 132, Sex and Love (4), 4
ANSC 135, Indigenous Peoples of Latin America (4), 4
ANSC 136, Traditional Chinese Society (4), 4
ANSC 137, Chinese Popular Religion (4), 4
ANSC 138, The Cultural Design Practicum: Using Anthropology to Solve Human Problems (4), 4
ANSC 139, Native American Health and Healing (4), 4
ANSC 140, Human Rights II: Contemporary Issues (4), 4
ANSC 141, Language, Politics, and Identity (4), 4
ANSC 142, Anthropology of Latin America (4), 4
ANSC 143, Mental Health as Global Health Priority (4), 4
ANSC 144, Immigrant and Refugee Health (4), 4
ANSC 145, Indigenous Peoples of North America (4), 4
ANSC 146, A Global Health Perspective on HIV (4), 4
ANSC 147, Global Health and the Environment (4), 4
ANSC 148, Global Health and Cultural Diversity (4), 4
ANSC 150, Culture and Mental Health (4), 4
ANSC 151, US-Mexico Border Ethnographies (4), 4
ANSC 153, War in Lived Experience (4), 4
ANSC 154, Gender and Religion (4), 4
ANSC 155, Humanitarian Aid: What Is It Good For? (4), 4
ANSC 156, Mad Films: Cultural Studies of Mental Illness in Cinema (4), 4
ANSC 158, Comparative Anthropology of Crisis (4), 4
ANSC 159, The Anthropology of Marriage (4), 4
ANSC 160, Nature, Culture, and Environmentalism (4), 4
ANSC 161, California: Undergraduate Research Seminar (4), 4
ANSC 162, Language, Identity, and Community (4), 4
ANSC 164, Introduction to Medical Anthropology  (4), 4
ANSC 165, Contemporary South Asia (4), 4
ANSC 166, Film and Culture in Asia (4), 4
ANSC 168, The Human Condition (4), 4
ANSC 169, Culture and Environment: Research Seminar and Practicum (4), 4
ANSC 170, Modernity and Human Experience (4), 4
ANSC 171, Multimodal Methods in Ethnography (4), 4
ANSC 173, Ethnography in Practice (4), 4
ANSC 174, Sex and Money: The Anthropology of Sex Work (4), 4
ANSC 175, Money, Work, and Nature: The Anthropology of Capitalism (4), 4
ANSC 176, The Meaning of Political Violence  (4), 4
ANSC 177, Step Into Anthrohistory: The Past and Its Hold on the Future (4), 4
ANSC 178, Brain, Mind, Culture, and History (4), 4
ANSC 179, The New Economic Anthropology: Producing, Consuming, and Exchanging Stuff Worldwide (4), 4
ANSC 180, Capitalism and Gender (4), 4
ANSC 181, Animal Affairs (4), 4
ANSC 182, Gun Violence as Social Pathology (4), 4
ANSC 183, Visualizing the Human: Film, Photography, and Digital Technologies (4), 4
ANSC 184, Food, Culture, and Society (4), 4
ANSC 185, #BlackLivesMatter (4), 4
ANSC 186, Gender and Incarceration (4), 4
ANSC 187, Anthropology of Mental Health in Israel and the Diaspora (4), 4
ANSC 188, Cultures of Healing (4), 4
ANSC 190, Yoga Practices: From Banaras to Beverly Hills (4), 4
ANSC 190GS, Medicine and Healing in South Asia (4), 4
ANSC 191GS, Everyday Life in South Asia: Beyond the Clichés (4), 4
ANSC 192, Liberation Bound: Struggles Against Capitalism and Imperialism Worldwide (4), 4
ANSC 192GS, Rethinking Poverty and Development (4), 4
ANSC 193, Capitalism and Nature (4), 4
ANSC 193GS, Human Rights and Environmental Justice (4), 4
ANTH 201, Special Topics in Anthropologi, Special Topics in Anthropolog
ANTH 202, Olmec and Maya Archaeology (4), 4
ANTH 204, Contemporary Anthropology (4), 4
ANTH 205, Postcolonial and Decolonial Anthropology (4), 4
ANTH 206, Race, Ethnicity, and Citizenship (4), 4
ANTH 207, Eastern Mediterranean Archaeology—New Perspectives (4), 4
ANTH 209, Archaeology’s Role in Building National Narrative: Israel as a Case Study (4), 4
ANTH 210, Religion and Globalization (4), 4
ANTH 211, Psychoanalysis and Religion (4), 4
ANTH 212, Advanced Topics in Biological Anthropology (4), 4
ANTH 213, Anthropology and Mental Health (4), 4
ANTH 214, Kin, Land, and Labor-Cultivating Relations (4), 4
ANTH 215, Advanced Topics in Sociocultural Anthropology (4), 4
ANTH 216, Global Pentecostalism (4), 4
ANTH 217, Materiality (4), 4
ANTH 218, Anthropology of the State and Governance (4), 4
ANTH 219, Seminar in Political Anthropology (4), 4
ANTH 220, The Human Body in Discourse and Experience (4), 4
ANTH 221, Phenomenology of Perception (4), 4
ANTH 222, Anthropological Studies of Subjectivity (4), 4
ANTH 223, Anthropological Interviewing (4), 4
ANTH 224, The Anthropology of Gender and Sexuality  (4), 4
ANTH 226, Ethnography of Christianity (4), 4
ANTH 227, Living in an Emotional World (4), 4
ANTH 229, Religion and Healing (4), 4
ANTH 230, Department Colloquium (1), 1
ANTH 232, Labor and Semiotics (4), 4
ANTH 233, Critical Studies of Capitalism (4), 4
ANTH 234, Dynamics of Culture (4), 4
ANTH 235, Theories of Social Justice (4), 4
ANTH 238, Immigrant and Refugee Health (4), 4
ANTH 239, Contemporary Religious Movements (4), 4
ANTH 240, Culture and Politics in Southeast Asia (4), 4
ANTH 242, Anthropology of Latin America (4), 4
ANTH 243, Mental Health as Global Health Priority (4), 4
ANTH 244, Andean Prehistory: Origins of Chiefdoms and States (4), 4
ANTH 245, The Middle Horizon (4), 4
ANTH 246, The Inca and the Late Horizon (4), 4
ANTH 247, Multimodal Interaction (4), 4
ANTH 248, Global Health and Cultural Diversity (4), 4
ANTH 249, Gender and Mental Health (4), 4
ANTH 250, The Anthropology of Human Rights (4), 4
ANTH 251, The Ethnography of Modernity  (4), 4
ANTH 252, Interrogating Neoliberalism (4), 4
ANTH 253, Who Cares? Sympathy and the Conduct of Liberalism (4), 4
ANTH 254, Dissertation Practicum (4), 4
ANTH 255, Understanding the Human Social Order (4), 4
ANTH 256, Seminar on Brain Evolution (4), 4
ANTH 257, Mind, Self, and Identity (4), 4
ANTH 258, Analytical Methods in Archaeology (4), 4
ANTH 259, Gender and Mental Health (4), 4
ANTH 260, Seminar in Medical and Psychological Anthropology  (4), 4
ANTH 261, Audio and Video Methods in Ethnography (4), 4
ANTH 262, Critical Anthropology Workshop  (4), 4
ANTH 263, Beyond the Genome (4), 4
ANTH 264, Human Evolutionary Genetics (4), 4
ANTH 265, Marine and Coastal Archaeology: Israel and the Neighboring Lands (4), 4
ANTH 266, Anthropology of Love (4), 4
ANTH 267, Decolonizing Ethnography: Ethics, Politics, and Praxis (4), 4
ANTH 270, The Archaeology of Climate Change—Social Adaptation and Vulnerability in Temporal Perspective (4), 4
ANTH 274, Debates in Anthropology (4), 4
ANTH 275, Paleoethnobotany (6), 6
ANTH 279, Special Topics in Language and Society (4), 4
ANTH 280A, Core Seminar in Social Anthropology (4), 4
ANTH 280B, Core Seminar in Cultural Anthropology (4), 4
ANTH 280C, Core Seminar in Psychological Anthropology (4), 4
ANTH 280D, Core Seminar in Anthropological Archaeology (4), 4
ANTH 280E, Core Seminar in Biological Anthropology (4), 4
ANTH 280F, Core Seminar in Linguistic Anthropology (4), 4
ANTH 281A, Introductory Seminar (1), 1
ANTH 281B, Introductory Seminar (1), 1
ANTH 283A, Fieldwork Seminar (4), 4
ANTH 284, Master Writing Practicum (4), 4
ANTH 285, Grants Writing Practicum (4), 4
ANTH 286, Topics in Anthropological Archaeology (4), 4
ANTH 287, Ethnography Practicum (4), 4
ANTH 288, Archaeology Practicum (12), 12
ANTH 289S, Tanzania Anthropogeny Study Tour (1–4), 1–4
ANTH 291, Archaeology of Highland Mexico (4), 4
ANTH 292, Social Evolution/Iron Age Levant (4), 4
ANTH 293, Primate Socioecology (4), 4
ANTH 295, Master’s Thesis Preparation (4), 4
ANTH 296, Dissertation Fieldwork Proposal Preparation (4), 4
ANTH 297, Research Practicum (1–4), 1–4
ANTH 298, Independent Study (1–4), 1–4
ANTH 299, Dissertation Research (1–12), 1–12
ANTH 500, , 
AUD 236, Preceptorship in Neuro-Otology (2), 2
AUD 255, Anatomy and Physiology of the Auditory and Vestibular Systems (4), 4
AUD 256, Pathophysiology of the Auditory and Vestibular Systems (4), 4
AUD 257, Ear Diseases and Treatment (3), 3
AUD 263, Physiological and Behavioral Tests of Vestibular Function (4), 4
AUD 264, Auditory and Vestibular Development and Genetics (3), 3
AUD 270, Newborn Hearing Screening and Management (3), 3
AUD 271, Temporal Bone Anatomy (3), 3
AUD 272, Central Auditory Processing Assessment and Management (4), 4
AUD 274, Advanced Technical Aspects of Hearing Amplification (4), 4
AUD 275, Intraoperative Monitoring (3), 3
AUD 276, Cochlear Implants and Other Implantable Sensory Aids (3), 3
AUD 284, Clinical Practice in Audiology II (1-4), 1-4
AUD 291, Clinical Case Studies/Staffing (1), 1
AUD 296, Research Practicum (3), 3
AUD 298, Independent Research (3), 3
AUD 299, Doctoral Project (3), 3
BNFO 281, Seminar in Bioinformatics and Systems Biology (1), 1
BNFO 283, Bioinformatics Student Research Talks (1), 1
BNFO 284, Nonlinear Dynamics in Quantitative Biology (4), 4
BNFO 285, Statistical Learning in Bioinformatics (4), 4
BNFO 298, Research Rotation (4–8), 4–8
BNFO 299, Graduate Research (1–12), 1–12
BNFO 500, Teaching Assistantship (2–4), 2–4
BILD 1, The Cell (4), 4
BILD 2, Multicellular Life (4), 4
BILD 3, Organismic and Evolutionary Biology (4), 4
BILD 4, Introductory Biology Lab (2), 2
BILD 7, The Beginning of Life (4), 4
BILD 10, Fundamental  Concepts of Modern Biology (4), 4
BILD 12, Neurobiology and Behavior (4), 4
BILD 18, Human Impact on the Environment (4), 4
BILD 20, Human Genetics in Modern Society (4), 4
BILD 22, Human Nutrition (4), 4
BILD 26, Human Physiology (4), 4
BILD 36, AIDS Science and Society (4), 4
BILD 38, Dementia, Science, and Society (4), 4
BILD 40, Introduction to Biomedical Research (2), 2
BILD 51, Quantitative Biology Project Lab (4), 4
BILD 60, Exploring Issues of Diversity, Equity, and Inclusion in Relation to Human Biology  (4), 4
BILD 70, Genomics Research Initiative Lab I (4), 4
BILD 87, Freshman Seminar (1), 1
BILD 91, Biology Freshmen: Strategies for Success (1), 1
BILD 92, Professional Development Topics in the Biological Sciences (1), 1
BILD 95, Undergraduate Workshops (1), 1
BILD 96, Biology: Honors Seminar (2), 2
BILD 98, Directed Group Study (1 to 4), 1 to 4
BILD 99, Independent Research (2 or 4), 2 or 4
BIBC 100, Structural Biochemistry (4), 4
BIBC 102, Metabolic Biochemistry (4), 4
BIBC 103, Biochemical Techniques (4), 4
BIBC 120, Nutrition (4), 4
BIBC 140, Our Energy Future—Sustainable Energy Solutions  (4), 4
BIBC 151, Chemistry of Biological Interactions (4), 4
BIBC 194, Advanced Topics in Modern Biology: Biochemistry (2), 2
BICD 100, Genetics (4), 4
BICD 101, Eucaryotic Genetics Laboratory (4), 4
BICD 110, Cell Biology (4), 4
BICD 112, Stem Cells and Regeneration (4), 4
BICD 120, Molecular Basis of Plant Development  (4), 4
BICD 123, Plant Molecular Genetics and Biotechnology Laboratory (4), 4
BICD 124, Plant Innate Immunity (4), 4
BICD 130, Embryos, Genes, and Development (4), 4
BICD 136, AIDS Science and Society (4), 4
BICD 140, Immunology (4), 4
BICD 145, Laboratory in Molecular Medicine (4), 4
BICD 194, Advanced Topics in Modern Biology: Cellular Development (2), 2
BIEB 100, Biostatistics (4), 4
BIEB 102, Introductory Ecology-Organisms and Habitat (4), 4
BIEB 121, Ecology Laboratory (4), 4
BIEB 123, Molecular Methods in Evolution and Ecology Lab (4), 4
BIEB 126, Plant Ecology (4), 4
BIEB 128, Insect Diversity (4), 4
BIEB 130, Marine Conservation Biology (4), 4
BIEB 131, Marine Invertebrate Ecology Lab (4), 4
BIEB 135, Aquatic Ecology Lab (4), 4
BIEB 140, Biodiversity (4), 4
BIEB 143, Computer Modeling in Evolution and Ecology (4), 4
BIEB 146, Genome Diversity and Dynamics (4), 4
BIEB 150, Evolution (4), 4
BIEB 152, Evolution of Infectious Diseases (4), 4
BIEB 154, Evolutionary Inquiry (4), 4
BIEB 156, Population Genetics (4), 4
BIEB 166, Animal Behavior and Communication (4), 4
BIEB 167, Animal Communication Lab (4), 4
BIEB 174, Ecosystems and Global Change (4), 4
BIEB 176, Biology of Conservation  and the Human Predicament (4), 4
BIEB 194, Advanced Topics in Modern Biology: Ecology, Behavior, Evolution (2), 2
BIMM 100, Molecular Biology (4), 4
BIMM 101, Recombinant DNA Techniques (4), 4
BIMM 110, Molecular Basis of Human Disease (4), 4
BIMM 112, Regulation of Eukaryotic Gene Expressions  (4), 4
BIMM 114, Virology (4), 4
BIMM 116, Circadian Rhythms—Biological Clocks (4), 4
BIMM 116B, BioClock Studio (4), 4
BIMM 118, Pharmacology (4), 4
BIMM 120, Microbiology (4), 4
BIMM 121, Laboratory in Microbiology (6), 6
BIMM 122, Microbial Genetics (4), 4
BIMM 124, Medical Microbiology (4), 4
BIMM 130, Microbial Physiology (4), 4
BIMM 134, Biology of Cancer (4), 4
BIMM 140, Quantitative Principles in Biology (4), 4
BIMM 143, Bioinformatics Laboratory (4), 4
BIMM 149, Computation for Biologists (4), 4
BIMM 162, 3-D Cryo-Electron Microscopy of Macromolecules and Cells  (4), 4
BIMM 164, Structural Biology of Viruses (4), 4
BIMM 170, Genomics Research Initiative Laboratory II (4), 4
BIMM 181, Molecular Sequence Analysis (4), 4
BIMM 182, Biological Databases (4), 4
BIMM 184, Computational Molecular Biology (4), 4
BIMM 185, Bioinformatics Laboratory (Advanced) (4), Advanced) (4
BIMM 194, Advanced Topics in Modern Biology: Molecular Biology (2), 2
BIPN 100, Human Physiology I (4), 4
BIPN 102, Human Physiology II (4), 4
BIPN 105, Animal Physiology Lab (6), 6
BIPN 106, Comparative Physiology (4), 4
BIPN 108, Biology and Medicine of Exercise (4), 4
BIPN 120, Endocrinology (4), 4
BIPN 134, Human Reproduction (4), 4
BIPN 140, Cellular Neurobiology (4), 4
BIPN 142, Systems Neurobiology (4), 4
BIPN 144, Developmental Neurobiology (4), 4
BIPN 146, Computational Neurobiology (4), 4
BIPN 148, Cellular Basis of Learning and Memory (4), 4
BIPN 150, Diseases of the Nervous System (4), 4
BIPN 152, The Healthy and Diseased Brain (4), 4
BIPN 160, Neuroanatomy (4), 4
BIPN 189, Brain, Behavior, and Evolution (4), 4
BIPN 194, Advanced Topics in Modern Biology: Physiology and Neuroscience (2), 2
BISP 170, Bioscholars Seminar: From Bench to Bedside and Beyond (2), 2
BISP 191, Biology Transfers: Strategies for Success (1), 1
BISP 192, Senior Seminar in Biology (1), 1
BISP 193, Biology Education Research (2 or 4), 2 or 4
BISP 194, Advanced Topics in Modern Biology (2), 2
BISP 195, Undergraduate Instructional Apprenticeship in Biological Sciences  (4), 4
BISP 196, Honors Thesis in Biological Sciences (4), 4
BISP 197, Biology Internship Program (2 or 4), 2 or 4
BISP 198, Directed Group Study (1 to 4), 1 to 4
BISP 199, Individual Research for Undergraduates (2 or 4), 2 or 4
BGGN 200, Graduate School Fundamentals: Introduction to Graduate Studies    in the Division of Biological Sciences (2), 2
BGGN 201, Methods in Computational Neuroscience (3), 3
BGGN 202, Professional Development for Biologists (2), 2
BGGN 203, Topics in Ecology, Behavior, and Evolution (3), 3
BGGN 204, Topics in Community and Population Ecology (3), 3
BGGN 205, Communicating Science to the Public (2), 2
BGGN 207, Scientific Ethics (1), 1
BGGN 208, Biological Sciences Graduate Boot Camp (4), 4
BGGN 210, Neurobiology Boot Camp (4), 4
BGGN 211, Recent Advances and Experimental Approaches in Modern Biology (4), 4
BGGN 212, Introduction to Quantitative Evolutionary Biology (4), 4
BGGN 213, Foundations of Bioinformatics (4), 4
BGGN 214, Introduction to Q-Biology (4), 4
BGGN 216, Graduate Biostatistics (4), 4
BGGN 220, Graduate Molecular Biology (6), 6
BGGN 220D, Chromatin Structure and Transcriptional Regulation (2), 2
BGGN 220E, Post-Transcriptional Gene Regulation (2), 2
BGGN 220F, Shaping Cellular Function through Post-Translational Regulation (2), 2
BGGN 222, Graduate Cell Biology (6), 6
BGGN 223, Graduate Genetics (6), 6
BGGN 225, Graduate Immunology (4), 4
BGGN 226, Graduate Animal Virology (4), 4
BGGN 227, Graduate Topics in Plant Biology (4), 4
BGGN 228, Graduate Developmental Biology (4), 4
BGGN 230, Graduate Signal Transduction (4), 4
BGGN 231, Current Concepts in Stem Cell Biology (4), 4
BGGN 232, Innate Immunity (4), 4
BGGN 234, Practical Histopathology and Mouse Models of Human Disease (2), 2
BGGN 236, Advanced Glycobiology (4), 4
BGGN 237, Quantitative Methods in Genetics (4), 4
BGGN 238A, Integrative Microbiology I (4), 4
BGGN 238B, Integrative Microbiology II (4), 4
BGGN 245, Advanced Topics in Cancer Research and Therapy (2), 2
BGGN 246A, Computational Neurobiology (2), 2
BGGN 248, Molecular Mechanisms of Neural Development (4), 4
BGGN 249A-B-C, Basic Neuroscience (4-4-4), 4-4-4
BGGN 260, Neurodynamics (4), 4
BGGN 262, 3-D Cryo-Electron Microscopy of Macromolecules and Cells (4), 4
BGGN 264, Structural Biology of Viruses (4), 4
BGGN 266, Advanced Laboratory in Biophysical Techniques (6), 6
BGGN 271, Advanced Experimental Methods in Biology  (4–12), 4–12
BGGN 290, Advances in Cellular and Molecular Mechanisms (1), 1
BGGN 292, Professional Pathways in Biological Sciences (1), 1
BGGN 293, Scientific Writing in Biology (2), 2
BGGN 295, Scientific Presentation in Biology (2), 2
BGGN 297, Research Conference (1–3), 1–3
BGGN 298, Laboratory Projects in Biology (3–12), 3–12
BGGN 299, Thesis Research in Biology (1–12), 1–12
BGGN 500, Introduction to College Biology Education (4), 4
BGGN 502, Evidence-Based Teaching and Learning in Biological Sciences (1), 1
BGGN 504, Scholarship of Teaching and Learning in Biological Sciences (1), 1
BGJC 207, Journal Club in Neurobiology (1), 1
BGJC 208, Journal Club in Plant Molecular Biology (1), 1
BGJC 213, Journal Club in Computational Neurobiology (1), 1
BGRD 205, Research Discussion in Plant Membrane Biology (1), 1
BGRD 207, Research Discussion in Neuronal Pattern Generation (1), 1
BGRD 210, Research Discussion in Virology (1), 1
BGRD 211, Research Discussion in Developmental Cellular Neurobiology (1), 1
BGRD 212, Research Discussion in Behavior and Development of Simple Nervous Systems (1), 1
BGRD 213, Research Discussion in Golgi Structure and Function (1), 1
BGRD 216, Research Discussion in Molecular and Cell Biology (1), 1
BGRD 218, Research Discussion in Plant Molecular Genetics (1), 1
BGRD 221, Research Discussion in Behavioral Ecology (1), 1
BGRD 222, Research Discussion in Evolutionary Molecular Ecology (1), 1
BGRD 230, Research Discussion in Cell Signaling Pathways (1), 1
BGRD 231, Research Discussion in Nuclear Transport and Function (1), 1
BGRD 234, Research Discussion in Cell Signaling in Drosophila (3), 3
BGSE 200, Seminar in Biology (1), 1
BGSE 205, Graduate Research Seminar (1), 1
BIOM 200A, Molecules to Organisms: Concepts (6), 6
BIOM 200B, Molecules to Organisms: Approaches (2), 2
BIOM 201, Seminars in Biomedical Research (4), 4
BIOM 202, Biomedical Sciences Research Rotation (3), 3
BIOM 209, Lipid Cell Signaling Genomics, Proteomics, and Metabolomics (2), 2
BIOM 218, Current Topics in Anthropogeny (1), 1
BIOM 219, Ethics in Scientific Research (1), 1
BIOM 222, Essentials of Glycobiology (2), 2
BIOM 224, Topics in Cancer Research (2), 2
BIOM 225, Introduction to Anthropogeny (2), 2
BIOM 226, Hormone Action (3), 3
BIOM 227, Mouse Models of Human Disease (2), 2
BIOM 228, Modern Drug Discovery Technologies (2), 2
BIOM 229, Advanced Anthropogeny (2), 2
BIOM 231, Contemporary Topics in Pharmacology (2), 2
BIOM 232, In vivo Cellular and Molecular Imaging (1), 1
BIOM 233, Structural Biology in Cell Signaling and Drug Discovery (2), 2
BIOM 234, Practical Histopathology and Mouse Models of Human Diseases (2), 2
BIOM 235, Pharmacogenomics (3), 3
BIOM 240, Critical Reading in Cell Biology (3), 3
BIOM 242, Seminar in Genetics (1), 1
BIOM 246, Current Literature in Glycobiology (1), 1
BIOM 252, Genetics and Genomics (3), 3
BIOM 253, Pathogens and Host Defense (3), 3
BIOM 254, Molecular and Cell Biology (3), 3
BIOM 255, Molecular Basis of Drug Action and Disease Therapy  (3), 3
BIOM 256, Molecular Pathology of Cancer (3), 3
BIOM 262, Quantitative Methods in Genetics  (4), 4
BIOM 264, Molecular and Cellular Basis of Disease (2), 2
